Park_and_Ride_Station,Passengers,Radius,Tour_Length
Tuscany Station - Rocky Ridge Terminal,10,3,23012.722999999994
Tuscany Station - Rocky Ridge Terminal,10,3,33419.13799999999
Tuscany Station - Rocky Ridge Terminal,10,3,35230.09399999999
Tuscany Station - Rocky Ridge Terminal,10,4,25734.194999999996
Tuscany Station - Rocky Ridge Terminal,10,4,37928.829
Tuscany Station - Rocky Ridge Terminal,10,4,39887.48599999999
Tuscany Station - Rocky Ridge Terminal,10,5,32542.902000000002
Tuscany Station - Rocky Ridge Terminal,10,5,41947.82699999999
Tuscany Station - Rocky Ridge Terminal,10,5,36203.43799999999
Tuscany Station - Rocky Ridge Terminal,11,1,19949.004999999994
Tuscany Station - Rocky Ridge Terminal,11,1,23279.132999999994
Tuscany Station - Rocky Ridge Terminal,11,1,28108.868999999995
Tuscany Station - Rocky Ridge Terminal,11,2,22966.137999999995
Tuscany Station - Rocky Ridge Terminal,11,2,24650.481999999993
Tuscany Station - Rocky Ridge Terminal,11,2,23594.1
Tuscany Station - Rocky Ridge Terminal,11,3,34883.751
Tuscany Station - Rocky Ridge Terminal,11,3,33634.69699999999
Tuscany Station - Rocky Ridge Terminal,11,3,35541.71799999999
Tuscany Station - Rocky Ridge Terminal,11,4,42764.897999999994
Tuscany Station - Rocky Ridge Terminal,11,4,36878.640999999996
Tuscany Station - Rocky Ridge Terminal,11,4,38977.022999999994
Tuscany Station - Rocky Ridge Terminal,11,5,38146.152
Tuscany Station - Rocky Ridge Terminal,11,5,42879.878
Tuscany Station - Rocky Ridge Terminal,11,5,38477.712999999996
